year,fledgeling,release_wild,pair
5,2,released-released,1
5,3,released-released,1
5,3,released-released,1
6,1,released-released,1
6,3,released-released,1
7,3,released-released,1
7,3,released-released,1
7,3,released-released,1
7,4,released-released,1
7,4,released-released,1
7,3,released-wild,2
7,4,released-released,1
7,1,released-released,1
7,2,released-released,1
7,2,released-released,1
7,2,wild-released,2
8,2,released-released,1
8,2,released-released,1
8,3,released-released,1
8,3,released-wild,2
8,2,released-released,1
8,1,released-released,1
8,2,released-released,1
8,1,wild-released,2
9,3,released-released,1
9,4,released-released,1
9,3,released-wild,2
9,1,released-released,1
9,1,released-released,1
9,2,released-released,1
9,1,released-released,1
9,1,released-released,1
9,2,released-wild,2
9,3,released-released,1
9,1,released-released,1
9,3,wild-released,2
9,3,wild-released,2
9,1,wild-released,2
9,3,wild-released,2
9,2,wild-released,2
9,2,wild-wild,3
9,1,wild-wild,3
9,3,wild-wild,3
10,3,released-released,1
10,4,released-released,1
10,4,released-released,1
10,2,released-released,1
10,4,released-wild,2
10,1,released-released,1
10,1,released-released,1
10,2,released-released,1
10,1,released-released,1
10,3,released-released,1
10,4,released-released,1
10,3,released-released,1
10,3,released-wild,2
10,3,released-released,1
10,3,released-wild,2
10,4,released-released,1
10,1,released-released,1
10,1,released-wild,2
10,3,released-wild,2
10,2,wild-released,2
10,2,wild-wild,3
10,2,wild-released,2
10,2,wild-released,2
10,3,wild-released,2
10,2,wild-wild,3
10,3,wild-released,2
10,2,wild-wild,3
10,3,wild-wild,3
10,2,wild-wild,3
10,1,wild-wild,3
10,3,wild-wild,3
11,3,released-released,1
11,1,released-wild,2
11,2,released-released,1
11,3,released-released,1
11,1,released-wild,2
11,3,released-wild,2
11,3,released-released,1
11,2,released-released,1
11,1,released-released,1
11,2,released-released,1
11,1,released-released,1
11,2,released-released,1
11,3,released-released,1
11,3,released-wild,2
11,2,released-released,1
11,1,released-wild,2
11,2,released-wild,2
11,3,released-released,1
11,1,released-wild,2
11,2,released-released,1
11,3,released-released,1
11,3,wild-wild,3
11,3,wild-released,2
11,2,wild-released,2
11,3,wild-released,2
11,3,wild-wild,3
11,2,wild-wild,3
12,2,released-released,1
12,2,released-wild,2
12,4,released-released,1
12,4,released-wild,2
12,1,released-wild,2
12,2,released-released,1
12,3,released-released,1
12,3,released-released,1
12,3,released-released,1
12,3,released-released,1
12,2,released-wild,2
12,3,released-released,1
12,1,released-released,1
12,4,released-wild,2
12,3,released-wild,2
12,2,released-released,1
12,1,released-wild,2
12,2,released-wild,2
12,1,released-wild,2
12,3,released-released,1
12,3,released-wild,2
12,2,wild-released,2
12,1,wild-wild,3
12,1,wild-released,2
12,3,wild-wild,3
12,4,wild-released,2
12,1,wild-wild,3
12,2,wild-wild,3
12,2,wild-released,2
12,2,wild-released,2
12,3,wild-wild,3
12,2,wild-wild,3
12,1,wild-wild,3
13,3,released-released,1
13,3,released-released,1
13,2,released-released,1
13,1,released-released,1
13,1,released-released,1
13,4,released-released,1
13,3,released-wild,2
13,4,released-wild,2
13,3,released-wild,2
13,2,released-wild,2
13,2,released-released,1
13,4,wild-released,2
13,3,wild-wild,3
13,3,wild-wild,3
13,3,wild-wild,3
13,2,wild-wild,3
13,1,wild-released,2
13,3,wild-wild,3
13,3,wild-released,2
13,2,wild-released,2
13,2,wild-released,2
13,3,wild-wild,3
13,2,wild-wild,3
13,4,wild-wild,3
14,1,release-wild,2
14,3,wild-wild,3
14,1,release-release,1
14,3,release-release,1
14,3,wild-wild,3
14,2,wild-release,2
14,1,wild-release,2
14,2,release-release,1
14,2,wild-wild,3
14,4,release-release,1
14,2,release-release,1
14,1,release-release,1
14,1,release-release,1
14,3,wild-wild,3
14,3,wild-wild,3
14,3,wild-wild,3
14,3,wild-wild,3
14,2,wild-wild,3
14,2,wild-wild,3
14,2,wild-wild,3
