year,success,fledgeling,release_wild,pair
3,0,NA,released-released,1
3,0,NA,released-released,1
3,0,NA,released-released,1
3,0,NA,released-released,1
3,0,NA,released-released,1
3,0,NA,released-released,1
4,0,NA,released-released,1
4,0,NA,released-released,1
4,0,NA,released-released,1
4,0,NA,released-released,1
4,0,NA,released-released,1
4,0,NA,released-released,1
4,0,NA,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,1,2,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,1,3,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,1,3,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
5,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,1,1,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,1,3,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
6,0,NA,released-released,1
7,0,NA,released-released,1
7,0,NA,released-released,1
7,1,3,released-released,1
7,0,NA,released-released,1
7,1,3,released-released,1
7,0,NA,released-released,1
7,1,4,released-released,1
7,0,NA,released-released,1
7,1,4,released-released,1
7,0,NA,released-released,1
7,1,3,released-released,1
7,0,NA,released-released,1
7,0,NA,released-released,1
7,0,NA,wild-released,2
7,0,NA,released-released,1
7,0,NA,released-released,1
7,0,NA,released-released,1
7,0,NA,released-released,1
7,0,NA,released-released,1
7,1,2,wild-released,2
7,1,1,released-released,1
7,0,NA,released-released,1
7,0,NA,released-released,1
7,0,NA,wild-released,2
7,1,4,released-released,1
7,1,2,released-released,1
7,0,NA,released-released,1
7,0,NA,released-released,1
7,1,2,released-released,1
7,0,NA,released-wild,2
7,0,NA,released-wild,2
7,1,3,released-wild,2
7,0,NA,released-wild,2
8,0,NA,released-released,1
8,0,NA,released-released,1
8,1,2,released-released,1
8,0,NA,released-released,1
8,1,3,released-released,1
8,0,NA,released-released,1
8,1,2,released-released,1
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,wild-released,2
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,wild-released,2
8,1,2,released-released,1
8,0,NA,wild-released,2
8,1,2,released-released,1
8,0,NA,released-released,1
8,1,1,released-released,1
8,0,NA,released-released,1
8,0,NA,wild-released,2
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,released-released,1
8,0,NA,released-released,1
8,1,1,wild-released,2
8,0,NA,wild-wild,3
8,0,NA,wild-wild,3
8,0,NA,released-wild,2
8,1,3,released-wild,2
9,0,NA,released-released,1
9,0,NA,released-released,1
9,0,NA,released-released,1
