2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NA,NA,NA,NA,2,1,3,2,3,3,3,2,3
NA,NA,NA,NA,3,3,3,2,4,4,1,2,3
NA,NA,NA,NA,3,NA,3,3,3,4,2,4,2
NA,NA,NA,NA,NA,NA,4,3,1,2,3,4,1
NA,NA,NA,NA,NA,NA,4,2,1,4,1,1,1
NA,NA,NA,NA,NA,NA,3,1,2,1,3,2,4
NA,NA,NA,NA,NA,NA,4,2,1,1,3,3,3
NA,NA,NA,NA,NA,NA,1,1,1,2,2,3,4
NA,NA,NA,NA,NA,NA,2,NA,2,1,1,3,3
NA,NA,NA,NA,NA,NA,2,NA,3,3,2,3,2
NA,NA,NA,NA,NA,NA,2,NA,1,4,1,2,2
NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4
NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,1,3
NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,4,3
NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,3
NA,NA,NA,NA,NA,NA,NA,NA,2,4,1,2,2
NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1
NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,3
NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,4
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
